# Last update: Wed, 08 Apr 2020 23:00:12 +0200
#
# IP	number of (black)lists
#
46.165.230.5	11
89.234.157.254	10
185.220.100.253	10
178.165.72.177	10
77.247.181.165	10
195.206.105.217	10
171.25.193.78	9
185.107.47.171	9
18.27.197.252	9
46.165.245.154	9
185.220.100.252	9
185.220.100.255	9
185.165.168.229	9
185.220.101.28	9
185.220.101.21	9
77.247.181.162	9
77.247.181.163	9
167.88.7.134	9
171.25.193.25	9
144.217.255.89	9
51.75.144.43	9
62.102.148.68	9
185.220.101.16	9
51.15.111.139	8
94.102.49.82	8
185.220.101.1	8
199.87.154.255	8
69.158.207.141	8
162.247.72.199	8
185.220.100.254	8
185.107.70.202	8
192.42.116.16	8
185.220.102.8	8
185.220.101.136	8
162.247.74.27	8
185.213.155.172	8
171.25.193.20	8
176.10.99.200	8
114.67.74.50	8
185.129.62.62	8
94.102.63.27	8
185.220.100.242	8
185.220.100.243	8
185.220.100.241	8
185.220.101.32	8
51.15.43.205	8
213.74.176.36	8
185.220.100.240	8
194.180.224.150	7
89.163.153.41	7
103.99.1.31	7
120.194.108.100	7
104.244.76.189	7
45.95.168.132	7
45.14.224.131	7
51.15.80.14	7
45.14.224.113	7
164.132.51.91	7
109.70.100.20	7
178.73.215.171	7
195.176.3.23	7
185.107.47.215	7
122.188.208.110	7
162.247.74.74	7
37.49.230.14	7
189.199.252.187	7
118.70.216.153	7
162.247.74.201	7
162.247.74.204	7
185.220.101.33	7
171.25.193.77	7
185.220.101.9	7
185.220.101.4	7
185.220.101.3	7
185.220.101.42	7
51.15.232.229	7
178.128.83.204	7
62.210.37.82	7
92.63.194.91	7
185.220.100.251	7
93.186.170.7	7
45.95.168.145	7
104.244.77.95	7
185.220.101.26	7
185.220.101.27	7
185.220.101.24	7
185.220.101.25	7
144.217.105.209	7
185.220.102.6	7
94.102.60.18	7
157.245.104.96	7
62.171.172.225	7
85.248.227.164	7
176.10.104.240	7
193.142.146.21	7
185.220.102.7	7
207.244.70.35	7
185.34.33.2	7
62.102.148.69	7
92.63.194.7	7
93.174.93.10	7
64.113.32.29	7
95.211.230.211	7
